,title,price,link
10,(Refurbished) Dell Precision 5540 Laptop / Intel Core i9-9880H / 32GB RAM / 1TB SSD / Nvidia Quadro T2000 with 4GB Graphics / Windows 11 Pro / 15.6 inches Ultra HD 4K Touchscreen Display  ,"61,999",https://www.amazon.in/Refurbished-Dell-Precision-i9-9880H-Touchscreen/dp/B0DJ3LG1LD/ref=sr_1_137?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.Lb9yCXu4IUr_fDVGpA9Jy98unymVJCiYstnbwxRTRlJYeT8-1Lx21KLjxD8OYDP6AFrbhkWvrVQfENNSJsXokLAtPnTDdN2aN0SOjgDNz4e-Dzi9wEdH61KI2S5qg6G05nG_K6xRTHUcuC0EOGESOVPuQUWdMke-MFnMpjIiKOqfUqoDPqbLR4IGM2UoiiZHE5DlDRm0H9POn_gSjRtQ6S4ugZx-Pia3HI1QuDu2QvQ.elgA_l_pQvrvMU1erohajCnsj_3L2tI1s2MuvyAKPQA&dib_tag=se&keywords=laptop&qid=1730186797&sprefix=laptop%2Caps%2C378&sr=8-137
11,"HP 15s AMD Ryzen 5 5500u (8GB DDR4 RAM/ 512 GB NVMe M.2 SSD/Windows 11 / MS Office'2021 / FHD 15.6"" (39.6 cm) + Backlit Keyboard/Silver / 1.69 kg/Dual Speakers) eq2304AU / Laptop  ","36,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjI4NjgyMDI5MjAyMDA6MTczMDE4Njc4NDpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMzUyOTk4MTk1NjMyOjoxOjo&url=%2FHP-15-6-inch-Graphics-Speakers-eq2304AU%2Fdp%2FB0CY2P29D6%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D41SB5GHTV11B%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.oCLLrlVyeuKtBPcxDG_WeTJ7mhPoKRWa2zMY4_kCRbrjn1uRqFDppaf3Qxtfk9pL.HHvLKq91bmyRRGGToR6Qj7YroumHZtVKD0Qeadf0Qpc%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CY2P29D6%26pd_rd_r%3D39e8913f-2fe0-4501-b1a7-65b5b9e52b76%26pd_rd_w%3DfiEYL%26pd_rd_wg%3DgoDJ8%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DZE88D23PK4HW7ACPFPG5%26qid%3D1730186784%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C378%26sr%3D1-49-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
12,"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS, 15.6-inch FHD 144Hz, Gaming Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 4050/Windows 11/90WHr/Mecha Gray/2.2 Kg), FA507NUR-LP082W  ","79,990",https://www.amazon.in/ASUS-15-6-inch-GeForce-Windows-FA507NUR-LP082W/dp/B0D5DCSNM1/ref=sr_1_68?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.f2bS49Jkg2_7Q1hkG2Q5B0rnhuN6by0ecZ-z8NzeB98qRTeH0EbqFzYJcVsvrE0kF-ZsZCeCmip4F9dBYN2lLUevsjdYi6JctJtEiLzKTUdI1mwZKfpOS-SNf-81F74-VyVTJ242nkAHFbeFxYMRzM304V4e7pcP7rha72rWwcFeW8Uzx_X_GzkrgobEerdOQVuvj2GRnqtDiThyLAVxvRannu_3bUQgs0rXg1x8Qus.DFc13h2g9hlCdG69f-It8Ya6KAi0TDL36NEb9BT67NM&dib_tag=se&keywords=laptop&qid=1730186787&sprefix=laptop%2Caps%2C378&sr=8-68
13,"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU  ","34,990",https://www.amazon.in/HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_3?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.plyEiYuMfFkZv_-JOMxUbBoepO_Wvb3N_UNssJ19p4lEfU7WDN9cyZG4v9EQ6cLOCFVyq0b7soQg5aEveG9rbFca66HWUoZ8mJAutkMrUxefP6W0oUA0iddozbNV653_Y9WuUfJny3ADS4UK1uXAF52QcW8dOrVzWDowFVrRxucscmazL5gVsV4L1Q9DAB945McfNB9FagLm-rvjQUGmNZbk2h-59Xe1sRl6e3vPDes.3dWRM8cUkE2t-zJqI3CpiB9puiQiFv8Wc8VUJ45ufKY&dib_tag=se&keywords=laptop&qid=1730186776&sprefix=laptop%2Caps%2C378&sr=8-3
14,"Primebook S Wifi, 2024(NEW) Android Based MediaTek MT8183 - (PrimeOS) Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C) (4GB/128GB eMMC Storage)  ","12,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMzIzNzcxMDQ4MDg1MDY2OjE3MzAxODY3OTQ6c3BfYnRmOjMwMDIxMzY3MzA2MzMzMjo6MDo6&url=%2FPrimebook-Android-Based-MediaTek-MT8183%2Fdp%2FB0D2Y4KLGN%2Fref%3Dsr_1_134_sspa%3Fcrid%3D41SB5GHTV11B%26dib%3DeyJ2IjoiMSJ9.MJTkADHg-ZZLVxUOTvZdYpi-bBmC0Y5DtsYvYvTEja-zbsn9f31_t8As2Ygkna7PqtKKK4WKDj4UtGaUZQ2m2-dy2O6UnobLfnL8puz_Y1yZFOOoN9TBcJWUPn0gDw7inuvMQ9fmuAOeWakO9ncllRJVlxjhIK5t6H8nThwqDuVlUgBThDGeAaTZWP0-TDThYc9pnIr0-Yi7Q4dLZk1_QZDQECMQEANg7DFxLTv5uJQ.L7FWNzXP3rkgLsfar2_ai4qAbUSgZjgOIrxIJzV31TI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730186794%26sprefix%3Dlaptop%252Caps%252C378%26sr%3D8-134-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
15,"Hp Victus Gaming Laptop, Amd Ryzen 5 5600H, 4Gb Rtx 3050 Gpu, 15.6-Inch (39.6 Cm), Fhd, Ips, 144Hz, 8Gb Ddr4, 512Gb Ssd, Backlit Kb, B&O, Dual Speakers (Mso, Silver, 2.37 Kg), Fb0082Ax-Windows 11 Home  ","55,490",https://www.amazon.in/Victus-15-6-Inch-Backlit-Speakers-Fb0082Ax-Windows/dp/B0BZYP6JK8/ref=sr_1_237?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.Mu61DVPX7gfddkSKiV1x9XAxwVdfkmRWsr8hysJa-PAFFUQXslXG96xpsXr31rAq4Co0nwnL-XDG6Aszo32jSXiN7pKaF5qU_JPBLTu68c42K_s9CeLRHXgVooxFE1S24jIk0IBtp4KlskyPwK41D6EsWlfemtLrxbcIbQ4SarAIS4hh1wlEo6QPJeDvnlrvufKlrYH8oatezLCMCxQ8sXODu-mHeVA1gpaJc6_qWNU.s61g-4slhcaHApijlwerZlVMocKw55gZ2BR-OXc5xjA&dib_tag=se&keywords=laptop&qid=1730186812&sprefix=laptop%2Caps%2C378&sr=8-237
16,"Lenovo [Smartchoice LOQ 12th Gen Intel Core i5-12450HX /39.6cm/ 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/ RTX 3050 6GB Graphics/100% sRGB/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS003UIN  ","66,190",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjA0MTc5MjA4MDI4NTA1OjE3MzAxODY4MTI6c3BfbXRmOjMwMDE2NzA4OTQ1OTMzMjo6MDo6&url=%2FLenovo-Smartchoice-i5-12450HX-Graphics-83GS003UIN%2Fdp%2FB0CX8XPKWJ%2Fref%3Dsr_1_235_sspa%3Fcrid%3D41SB5GHTV11B%26dib%3DeyJ2IjoiMSJ9.Mu61DVPX7gfddkSKiV1x9XAxwVdfkmRWsr8hysJa-PAFFUQXslXG96xpsXr31rAq4Co0nwnL-XDG6Aszo32jSXiN7pKaF5qU_JPBLTu68c42K_s9CeLRHXgVooxFE1S24jIk0IBtp4KlskyPwK41D6EsWlfemtLrxbcIbQ4SarAIS4hh1wlEo6QPJeDvnlrvufKlrYH8oatezLCMCxQ8sXODu-mHeVA1gpaJc6_qWNU.s61g-4slhcaHApijlwerZlVMocKw55gZ2BR-OXc5xjA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730186812%26sprefix%3Dlaptop%252Caps%252C378%26sr%3D8-235-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
17,"Acer Aspire Lite 12th Gen Intel Core i7-1255U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","47,990",https://www.amazon.in/Acer-i7-1255U-Premium-Windows-AL15-52/dp/B0D262KC1J/ref=sr_1_275?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.ABksjSacEjFFDkPKo4J6yYPEBi6q9IOJH3pTLidTyGL3OE7cRq7XW8En_JJVFcIORVZIP9ze8glPDfNzTeNhHDPNEGwHUvGu65UmsNTj7AUbHjEYiM1KkSP9sinev0tAlbQnMyiMrdM3dX0y4_5JTpwFTz43GaVbgw5mcYfcVr2z0f7rgex_D5IrV-vR-YJ7bIaAA-K8FuaqkFgsXqWGA2ovNtkoyyMdB2q_CMPTraI.2HRV2h7UwNlkkCrPLNsXPAI-gGbD1HVsLJHYDMRpmRQ&dib_tag=se&keywords=laptop&qid=1730186819&sprefix=laptop%2Caps%2C378&sr=8-275
18,HP 15s Core i3 12th Gen (8GB RAM/512 GB SSD/FHD/Windows 11/MS Office 21/15.6” (39.6cm)/Silver/1.69kg) fy5006TU Laptop  ,"35,490",https://www.amazon.in/HP-i3-1215U-15-6-inch-Anti-Glare-15s-fy5006TU/dp/B0CJBL2QWY/ref=sr_1_101?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.petaH-bRXoIJReH6PNrI3ds58vk0EAbhoo3qeHD3QSnfdwL3UpgejdAVHFkeWi7bXB1PWU4pQIGpUdk-K-da_muIOZQqd1QLJTbhVvuklwn6069AlR4nLHEG9EVFWnAXpE11T50_nzyIxNKH-Mk8Tvxn-9HI0DK2GcHiJgOU1vIsW5HRWWcmKPiHWvs6gMid41ADPnIGCzBL22ThJXPRFHnKbED6VAtUV8PMHnaS2Tw.0R49JOOq0iYOqeKTgMEFcBzg8Q5zpqd6U0yEPIdWyLw&dib_tag=se&keywords=laptop&qid=1730186791&sprefix=laptop%2Caps%2C378&sr=8-101
19,"HP Pavilion 16, Enhanced by AI, Intel Core Ultra 5 125U, 16-inch (40.6 cm), WUXGA, 16GB LPDDR5, 512GB SSD, Intel Graphics, 1080p FHD IR Camera, Copilot, Backlit KB (Win 11, Silver, 1.77 kg), af0015TU  ","70,990",https://www.amazon.in/HP-Pavilion-Enhanced-Graphics-af0015TU/dp/B0D268HBQY/ref=sr_1_145?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.Lb9yCXu4IUr_fDVGpA9Jy98unymVJCiYstnbwxRTRlJYeT8-1Lx21KLjxD8OYDP6AFrbhkWvrVQfENNSJsXokLAtPnTDdN2aN0SOjgDNz4e-Dzi9wEdH61KI2S5qg6G05nG_K6xRTHUcuC0EOGESOVPuQUWdMke-MFnMpjIiKOqfUqoDPqbLR4IGM2UoiiZHE5DlDRm0H9POn_gSjRtQ6S4ugZx-Pia3HI1QuDu2QvQ.elgA_l_pQvrvMU1erohajCnsj_3L2tI1s2MuvyAKPQA&dib_tag=se&keywords=laptop&qid=1730186797&sprefix=laptop%2Caps%2C378&sr=8-145
20,ViewSonic (from USA) - VA1655 16”(40.64 Cm) FHD Portable Monitor | IPS Panel | USB Type-C | Dual Speakers | Eye-Care Technology | Foldable Stand | Sleeve Case Included | 2 x USB-C 1 x Mini HDMI  ,"11,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzkxOTYyNTk4NjYxMDAwOjE3MzAxODY4MDk6c3BfbXRmOjMwMDE1NDExMzIxMjIzMjo6MDo6&url=%2FViewSonic-Portable-One-Cable-Solution-Registration%2Fdp%2FB09237LL5Q%2Fref%3Dsr_1_219_sspa%3Fcrid%3D41SB5GHTV11B%26dib%3DeyJ2IjoiMSJ9.Ci1UzXIPxp8XcwZyfJrmshD4AOD722A-z8XO5UD0UT7R3cvkp5zvpJesxVpYGhUv0E-pJghR5y2v9luWgsBJxbvX1h7daLoHB10uOAAH2wcUbFxSVF2LOt02Gr2eL5QJ8Nq4jKinVsGYxpJXDV44U0V_pMU1F8mSgFCf545IfxtqczKrIUArSx_yxUGkcjBLLsu59tY8guXZgRcpqcWFSAvk2Ue4rDxG19PM1kUN5_o.EgH5XmG7cgzGIMS1Y-1_0-GorXGHGsI04llt-0aaJm0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730186809%26sprefix%3Dlaptop%252Caps%252C378%26sr%3D8-219-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
21,"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Integrated AMD Graphics/Windows 11/Office 2021/HD Camera/1 Year ADP Free/Grey/1.6Kg), 82R400BRIN  ","32,990",https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Windows-82R400BGIN/dp/B09MM58Y7Q/ref=sr_1_48?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.fj70g8iIxpPA-eCas2tVBm6znxygCaATt3gvyCFhCFHigeW_KP8E8eDLvRoQbt9GT4bzBFv_i_q95EogZrCa1-B2Xnaqk9mXWi5GTbwgaxC_u2Bwv9CkEB8WD1w6xvhAbZGoOFXZzRDIhc0RZRBIEMLZrgdg4TrddtJ2iJWUu4zU7JpJzaQ6sFXXRhLqr9Ce2rLjIueYdkviaetQDZNno_iDer7FhzL4KVXPvohutYo.Aj1AIiQcy8z6ArHIiN2yr7MiYSParX-6mhx3wteTSGo&dib_tag=se&keywords=laptop&qid=1730186782&sprefix=laptop%2Caps%2C378&sr=8-48
